Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,1.15e+12,1.0,0.0,785.7692942537356,2375.8739462106178,0.14682239460320212,0.5019153541343861,1.58e+05,73555.45209447766,8003.99273742211,100000000.0,0.000800501492835137,0.7338086749851456,0.4761529886439261,0.94,0.545945711533222,0.2621672354285748,0.00012437051893043864,7.365895143092073e-05,2.665466193535849,0.0,1683.0,1235.0,
0,538.4771,4.03e+12,1.0,0.0,2239.9088041200735,1916.9072390525657,0.11057264553000118,0.4727308044989203,1.35e+05,248010.1193188869,25107.05926299514,100000000.0,0.0004955887265701227,0.7338086749851456,0.6372653346323178,0.94,0.580640350529795,0.15111460110452202,7.527637455195251e-05,0.00048488542265447577,1.5369767778379027,0.0,1683.0,1235.0,
1,1098.6167,3.70e+12,1.0,0.0,1762.0661187626038,1569.602749415185,0.09922502968137911,0.5375935215475335,1.41e+05,261994.64718989038,18424.555359445614,100000000.0,0.0002457346102097505,0.7338086749851456,0.6387967316030154,0.94,0.4859533429104479,0.15309107033630748,0.00010172863265646012,0.000733336424744728,1.880216188923355,0.0,1683.0,1235.0,
2,1662.1954,2.71e+12,1.0,0.0,1910.6203633492028,1258.2091335240434,0.09101645638707301,0.6526523999493861,1.39e+05,260131.66875527374,23525.51293272589,100000000.0,0.0002086922504258654,0.7338086749851456,0.6678125931458867,0.94,0.46754450793112057,0.1759256130619942,7.707333807305669e-05,0.0007089836317528092,2.3006982400680767,0.0,1683.0,1235.0,
3,2237.7793,3.06e+12,1.0,0.0,1724.0499562838522,1155.6789150413356,0.08798333328605297,0.6775625821423801,1.44e+05,252576.1995459182,23862.716103557847,100000000.0,0.00015208545016258637,0.7338086749851456,0.6627408146281808,0.94,0.39211960992637807,0.18609268502013182,7.332562401359132e-05,0.000750520062551376,2.0626712139218153,0.0,1683.0,1235.0,
4,2832.3682,2.66e+12,1.0,0.0,1644.2931144237582,1340.3628023462475,0.10577892827792584,0.6434351441032539,1.51e+05,221155.57709958008,25046.59130732988,100000000.0,0.00012964280976204265,0.7338086749851456,0.7563941941143542,0.94,0.3744198323632814,0.20491043464490843,7.44321384116543e-05,0.0007862408447878325,1.9308275698272626,0.0,1683.0,1235.0,
5,3452.1544,2.72e+12,1.0,0.0,1404.1082107719576,1880.0800481480446,0.14360102316749418,0.6454364171221392,1.63e+05,157082.9383616704,27673.864813526896,100000000.0,9.76409254068191e-05,0.7338086749851456,0.8450207555223597,0.94,0.3483330837342741,0.1793760429611121,3.3721708820072405e-05,0.0007038331865471648,1.6810562032881735,0.0,1683.0,1235.0,
6,4068.0221,2.69e+12,1.0,0.0,1317.7658234133808,2001.0324405969457,0.15894780601540198,0.7058971153475464,1.68e+05,139249.0769303235,30257.03995553334,100000000.0,8.441413296121796e-05,0.7338086749851456,0.8890869693133223,0.94,0.35138995918695753,0.1580449833861453,1.3193615196608574e-05,0.0007153431769672484,1.447483641883851,0.0,1683.0,1235.0,
7,4697.9733,2.98e+12,1.0,0.0,1288.2258730293502,1726.7160487604642,0.16879595919771367,0.913823777631364,1.72e+05,142697.67963450705,29637.705829815488,100000000.0,7.745712452905922e-05,0.7338086749851456,0.9319991817437003,0.94,0.35807034512011904,0.1102728953753791,1.2036530803048384e-05,0.0007668457967889499,1.2876276026656561,0.0,1683.0,1235.0,
8,5353.1015,3.10e+12,1.0,0.0,1259.4941134268008,1666.053967889457,0.17749695229496298,0.9886915144637725,1.74e+05,147206.6892935256,30223.80042624998,100000000.0,7.302586822395538e-05,0.7338086749851456,0.9642566050449131,0.94,0.3665224216110927,0.09320228757508718,1.3179623171583038e-05,0.0007786360851206558,1.1139201677923327,0.0,1683.0,1235.0,
